key,value
type,predator
x,5150.7502036631495
y,4632.969489845985
r,14.0
angle,3.111874840501338
vx,-325.9406908478665
vy,9.689097000038796
energy,44.86530828414483
age,556.493416666661
brain_sizes,"[18, 32, 16, 8, 2]"
brain_version,43
